promotion,title,start_date,end_date,rating,party_1,party_2,party_3,party_4
World Wrestling Entertainment,Horowitz wins! Horowitz wins!,06/1995 , 11/1995,5.18,Barry Horowitz,Hakushi,Skip,Sunny
World Wrestling Entertainment,Der Erfolgsmagnet und die Eisenfaust: Big Show vs. Swagger,04/2010 , 06/2010,5.18,Comments,The Big Show,Jack Swagger,World Wrestling Entertainment
World Wrestling Entertainment,Der Auserwählte beweist sich: Morrison vs. McIntyre,12/2009 , 02/2010,5.17,Comments,John Morrison,Drew McIntyre,World Wrestling Entertainment
Lucha Underground,Der blaue Dämon weckt den Guerrero-Zorn: Blue Demon Jr. & Sexy Star vs. Chavo Guerrero Jr.,09/2014 , 10/2014,5.17,Blue Demon Jr.,Sexy Star,Fenix,Chavo Guerrero Jr.
World Wrestling Entertainment,Das Model stiehlt Tatankas Federn,04/1992 , 11/1992,5.15,Tatanka,Rick Martel,World Wrestling Federation,Summary
World Wrestling Entertainment,Der Gigant und das Million Dollar Baby: Big Show vs. Mayweather,02/2008 , 03/2008,5.14,Comments,Floyd Mayweather,The Big Show,World Wrestling Entertainment
World Wrestling Entertainment,Mickie schockt die Glamazon,12/2007 , 06/2008,5.12,Mickie James,Beth Phoenix,World Wrestling Entertainment,Summary
World Championship Wrestling,Eine Familienangelegenheit: Flair vs. Russo,04/2000 , 06/2000,5.12,Comments,Ric Flair,Arn Anderson,Reid Flair
World Wrestling Entertainment,Das Ringen um Michelle: Noble vs. Palumbo,11/2007 , 03/2008,5.11,Comments,Jamie Noble,Michelle McCool,Chuck Palumbo
Impact Wrestling,"Big Poppa, Little Petey und der Kampf um die Koffer",12/2007 , 02/2008,5.1,Scott Steiner,Rhaka Khan,Total Nonstop Action Wrestling,Summary
World Wrestling Entertainment,"Kane, X-Pac und die Fühler der dunklen Seite",07/1999 , 09/1999,5.1,Kane,X-Pac,The Road Dogg,The Undertaker
World Wrestling Entertainment,Die Resozialisierten: MVP vs. Miz,01/2010 , 02/2010,5.08,Comments,Montel Vontavious Porter,Mark Henry,The Miz
World Wrestling Entertainment,Vom Royal-Rumble-Sieger zum World Heavyweight Champion: Sheamus vs. Daniel Bryan,02/2012 , 05/2012,5.08,Comments,Sheamus,Daniel Bryan,AJ
World Wrestling Entertainment,Respekt wird verdient: Batista vs. Jericho,09/2008 , 11/2008,5.03,Comments,Batista,Chris Jericho,World Wrestling Entertainment
Ohio Valley Wrestling,Verhängnisvolle Goldgier: Runnels vs. Spears,04/2007 , 07/2007,5.0,Mike Mondo,Shawn Spears,Ohio Valley Wrestling,Summary
Impact Wrestling,Vier alte Rivalen zurück auf dem Zerstörungspfad: Cage & Rhino vs. Team 3D,04/2008 , 08/2008,5.0,Christian Cage,Rhino,Brother Ray,Brother Devon
World Wrestling Entertainment,"Ein Hahn, ein Wiesel und eine Kultfigur: Red Rooster vs. Bobby Heenan",12/1988 , 05/1989,5.0,Bobby Heenan,The Brooklyn Brawler,World Wrestling Federation,Summary
World Wrestling Entertainment,Der Härtetest nach dem großen Sieg: Punk vs. JBL,06/2008 , 08/2008,4.93,CM Punk,John Bradshaw Layfield,World Wrestling Entertainment,Summary
World Wrestling Entertainment,Abgeschnittener Stolz: Tatanka vs. Bigelow,04/1993 , 01/1994,4.93,Tatanka,Sensational Sherri,Bam Bam Bigelow,Luna Vachon
World Wrestling Entertainment,Der alte Fuchs maßregelt die Jugend: Flair vs. Carlito,02/2007 , 06/2007,4.89,Ric Flair,Torrie Wilson,Carlito,World Wrestling Entertainment
World Wrestling Entertainment,Zwei Motormäule tragen es aus: Piper vs. Lawler,05/1994 , 06/1994,4.89,Roddy Piper,Jerry Lawler,World Wrestling Federation,Notes
